HoV,MIXP,AMBP,AMBT,TZ6_Flow,R600_HD_Zeta3D,R610_HS1_Zeta3D,R611_HS1_Zeta3D,R612_HS1_Zeta3D,R613_HS1_Zeta3D,R620_HS1_Zeta3D,R620_HS2_Zeta3D,R620_HS3_Zeta3D,R621_HS1_Zeta3D,R621_HS2_Zeta3D,R621_HS3_Zeta3D
A1,2600.0,101401.6,299.38666666666666,738.0830000000001,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
A2,2600.0,101576.3,298.4486667,737.775,4.7308206417914045,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
A3,2606.1928,102136.6035,297.109024,740.979885,4.127180457922134,7.50611946319166,6.741077631819924,9.156844076158631,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
A4,2599.8998,103195.66420000001,295.060027,732.111579,3.7645035449506787,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
A5,2600.0,102856.19999999998,294.75583329999995,741.828,4.949375283472444,5.595442916228377,4.756868088978893,6.271347160683374,6.114034506015607,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
A6,2600.0,101325.0,293.15,743.533,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C1,2600.0,100650.4,294.1468333333333,740.0710000000001,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C2,2601.856275,100356.9848,295.465578,742.6064700000001,3.9420929651694854,7.50611946319166,6.198695728198789,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C3,2595.41505,100252.77279999999,297.643472,739.7412020000003,4.127180457922134,7.50611946319166,6.741077631819924,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C4,2600.0,102484.19999999998,295.5075,739.8170000000001,4.521188627716888,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C5,2600.287925,102114.06880000001,296.50707,727.1429029999998,4.127180457922134,7.50611946319166,5.946845248064041,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
C6,2598.4285499999996,100400.1544,293.343504,753.7411079999998,3.7645035449506787,6.8906185836864475,5.591146951220202,7.920332994779295,6.862828444872293,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
D1,2600.0,101811.9,299.7163333333333,754.12,4.32009667071488,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
D2,2600.0,101721.3,296.5783333333333,737.7570000000002,4.949375283472444,8.558005904527665,7.664244614575156,7.920332994779295,7.721656605586121,8.17609773255439,5.655379639862383,2.786637562377198,7.896746707503118,6.3302361315864,2.951190363409604
E1,2600.0,101327.8,296.42116667,735.5349999999999,4.949375283472444,7.50611946319166,6.741077631819924,7.920332994779295,7.721656605586121,9.440921568507221,6.107864416241849,2.786637562377198,8.801675001083558,6.836715919475545,2.951190363409604
