HoV,c_f_hat,FlowRate_Diff_(LTR-FDDN),f1,f2,Final_MSELoss,Final_ErrorLoss,MaxEpochs
A1,1.0243064474290757,7.179836316406618e-05,2.4955161297186525e-05,-2.028589700587739e-07,5.155004953039136e-09,4.415687275318825e-09,3
A2,1.061593775048772,4.453240282686899e-05,4.583339822766361e-07,1.689663289476468e-08,1.983134901534529e-09,1.6987187460962641e-09,1
A3,1.1511216492297864,0.0001627391051567395,2.141495533854651e-05,4.3531690588896e-07,2.6484016347216317e-08,2.2685746192114478e-08,1
A4,1.3005994999852148,0.00031209364167228415,5.018004735224629e-06,-4.011775805795794e-07,9.74024411722681e-08,8.343323119715137e-08,1
A5,0.9997116461005467,-0.000520732746028707,1.103820655803644e-05,1.0198961844319092e-06,2.7116259278659787e-07,2.322731445300224e-07,1
A6,0.9334083139443455,-0.0018149228720238941,2.5532735201392725e-05,-5.3431777482010154e-06,3.2939450313954605e-06,2.8215358264898605e-06,1
C1,0.9886148151950247,9.330782875127674e-05,1.0790611542415134e-05,-1.77922479124772e-07,8.706350906277588e-09,7.457708239183257e-09,1
C2,1.2618205551502069,-0.0001572318348930235,8.762826411299394e-07,8.58735556255798e-08,2.4721849903827002e-08,2.1176305170824938e-08,1
C3,1.2391848738746727,-0.00011423582776659558,1.6858152347020963e-06,8.68379297117394e-08,1.3049824345519289e-08,1.1178251782994527e-08,1
C4,1.0481855468908998,-0.0002799170616659685,8.91757791660406e-06,-4.891082769304032e-07,7.835356141170963e-08,6.711629324383534e-08,1
C5,1.2737611749767335,0.00037246575264326953,1.697666755066649e-05,-8.973322142924849e-07,1.3873073689211725e-07,1.1883432803085327e-07,1
C6,1.2138345567460638,-0.0005722057873814856,3.022406057293275e-05,-1.863609294869843e-06,3.2741946311286594e-07,2.804617978314147e-07,1
D1,1.0563486877789414,0.00036100849145703773,9.083946469278368e-07,-1.9658212482253406e-07,1.303271309040861e-07,1.1163594580500004e-07,1
D2,0.9896493326077614,-0.0005630657725211874,5.500543083110389e-06,7.652689150186084e-07,3.1704306418488155e-07,2.715735556032632e-07,1
E1,1.01630282042016,-0.0003485304585664206,2.1911559968059984e-06,3.004055524035844e-07,1.2147348054851944e-07,1.0405206342829172e-07,1
E2,1.484870088508099,0.00022228994537698554,5.685027973880994e-06,-2.7506026885360004e-07,4.9412819815703216e-08,4.232615907947627e-08,2
F1,0.9923432493840691,-0.0010844237739761065,9.929540189766458e-05,-5.828872211143687e-06,1.1759749215645816e-06,1.0073195941713683e-06,1
F2,0.9907982818864634,9.87748202991856e-05,1.4355019103088276e-06,6.778132188001869e-08,9.756465125136408e-09,8.357217751994206e-09,1
F3,1.010118414526866,3.212718360123823e-06,2.5116960527090544e-08,2.994289624068685e-10,1.0321559261476706e-11,8.841267526907428e-12,1
H1,1.044310042833965,-0.00014204915053706024,1.2127632409728647e-06,9.099456957708566e-08,2.0177961168300402e-08,1.7284089381953506e-08,1
I1,1.3233803758433615,-0.00015191594427910182,1.9086186310230386e-07,3.8464215964241706e-08,2.307845412621117e-08,1.976860102899813e-08,1
J1,1.1958609376903588,-0.00043006488340047166,9.70131582657925e-06,7.568048368947638e-07,1.8495580393426128e-07,1.5842991371858741e-07,1
M1,1.1558405535830418,-0.0002601915286946088,7.470383986536941e-06,4.2673005610486136e-07,6.769963160443745e-08,5.79903229080791e-08,2
M2,1.2202206451778066,-0.00045952149412653576,1.4601526042763665e-05,1.0860946603011231e-06,2.1116000356428382e-07,1.8087597379424034e-07,1
P1,1.2107608934114462,-5.940241982416161e-05,8.532881883066664e-07,-3.2457976656121175e-08,3.5286474809659486e-09,3.022577848659707e-09,1
Q1,1.0015447340102754,-0.00011748482694184936,3.347861167797941e-06,1.2041665331789284e-07,1.3802684561556295e-08,1.1823138704798257e-08,1
Q2,0.9817546076204107,0.0002544272246334245,4.05370313780485e-06,-2.941498604420982e-07,6.473321263466705e-08,5.544934018984579e-08,1
S1,1.302545337442556,-0.00096260517178548,1.0167942662259101e-05,-1.7623992280329718e-06,9.266087167481534e-07,7.937168551762715e-07,1
S2,0.9878665954671069,-0.000519836997515899,1.716354297889603e-05,1.2691537799078575e-06,2.7023050398634475e-07,2.3147473353095663e-07,1
S3,1.0092555712268845,-3.1610120629688154e-05,7.906877789306284e-06,-5.214378043193278e-08,9.991997262234367e-10,8.558970470020006e-10,1
S4,1.0914242998673036,0.00014706568834377265,6.2285609568721485e-06,-2.1177042275555777e-07,2.1628316688027666e-08,1.852643860789798e-08,1
S5,1.528823172135507,0.0013011635926903908,2.945814355592754e-05,4.248540732386746e-06,1.6930266949429653e-06,1.4502171194282426e-06,1
T1,1.1386635861135175,0.00025707251529927255,4.292928186279162e-06,-2.947619989454056e-07,6.608627812229473e-08,5.660835247224296e-08,2
T2,0.9852088967343875,-0.0003179327905837859,3.908271014782618e-05,-1.1277073082182034e-06,1.0108125932839345e-07,8.658444262530677e-08,1
