HoV,c_f_hat,FlowRate_Diff_(LTR-FDDN),ConvergedEpoch,f1,f2
A1,1.1548440064587968,0.0006501291217122507,2,5.6886754036505324e-05,4.3493742981694514e-06
C1,0.9892466191017052,0.00016783588181235043,3,1.3144327315170007e-05,6.75241416326552e-07
S3,1.0159879022702911,0.0010205364460303956,4,4.830227916401833e-06,-6.124876214767782e-07
S4,1.087004720522977,-0.0004903048352729034,5,4.485633172342829e-06,-3.038226886815183e-08
S1,1.3124771122347556,0.00022107118120928693,6,1.3204540414269098e-05,2.912037322709297e-07
M2,1.2159543446523418,-0.0010070226817667782,6,1.3204540414269098e-05,2.912037322709297e-07
C5,1.2590223025078275,-0.0015335236934702623,7,6.44867968313968e-05,7.75251111610449e-06
E1,1.0131272951218409,-0.0008554954213694232,8,5.985424200851814e-07,-3.2532833820549265e-08
A5,1.0070671895062,0.0007166157402097584,11,1.19297037528431e-07,2.0397064959373026e-08
C2,1.2676955527204767,0.0006037810191142912,14,9.091913767299089e-06,5.47975142787741e-07
F3,1.0024964731726134,-0.0012245390243748044,15,1.2787005300115959e-05,8.56433924386149e-07
F1,0.9962254966818904,-0.0004403782461618322,16,1.0248693461095232e-05,-1.0915840991204505e-06
C4,1.0427020526204176,-0.0010659835596014133,17,8.033422844225439e-05,-7.609534691276178e-06
D1,1.0550141535773991,0.00017718211099526648,17,8.033422844225439e-05,-7.609534691276178e-06
I1,1.3088253313642806,-0.0019838998565273602,18,8.189497648948926e-05,4.86224730890448e-06
C6,1.2243072905054881,0.0008049079188671149,19,5.566365361787643e-05,-7.055890162611743e-06
T2,0.9974973911466408,0.0016632472782851515,20,2.4165660698362533e-05,-1.6320629470862779e-06
A4,1.299311614711079,0.00018229849286610644,21,3.698753428018e-06,-8.582298727688093e-08
D2,0.9827176881269095,-0.0017149287810943603,21,3.698753428018e-06,-8.582298727688093e-08
A3,1.151119297600294,0.00016274122143711267,23,9.397730495025686e-05,-1.759666748572597e-05
J1,1.1896113275005247,-0.0013023048146316718,25,6.336326058365105e-06,-4.743840368431283e-07
P1,1.2194322738661958,0.0010627291042611953,27,2.3281651402228357e-05,-3.451705412189935e-07
C3,1.228770342728977,-0.0014889399514118606,30,5.609659202209626e-05,1.695936383838616e-07
S5,1.5263428005155584,0.00104778116867843,31,5.124024603690776e-05,-7.42560462938753e-06
M1,1.1644267718630295,0.0008829510395031992,32,4.813123778794192e-07,3.441888310074434e-08
Q1,1.003324343703085,0.00016610669132199885,33,3.1764608180404736e-05,3.18607606333887e-06
H1,1.0366008392063188,-0.0013942155174682114,34,9.907501472708149e-05,1.0650235980241327e-05
F2,0.996729041527099,0.0011019716019693426,34,9.907501472708149e-05,1.0650235980241327e-05
Q2,0.9695066495795838,-0.0017609863345481314,36,0.0002689265459485695,-6.862500348368743e-05
A6,0.9495213109412519,0.0008967739131118257,37,5.052813785109537e-06,6.770867394373512e-08
T1,1.1292480901295407,-0.0011601230785472927,39,1.3218032805366807e-06,-2.9788719510857822e-08
A2,1.0593818028532462,-0.0003313535580623528,41,4.131000873071514e-08,-7.140176218738453e-09
S2,0.9976533429139363,0.0010702831877394958,49,0.00022351902572355402,-1.924428249270658e-05
E2,1.4863541960726905,0.00038783597846192563,51,5.083205012373316e-06,-4.52509694874528e-07
