HoV,c_f_hat,Early_Stopping_Reason,FlowRate_Diff_(LTR-FDDN),Final_MSELoss,Final_ErrorLoss,MaxEpochs
A1,1.029903870680353,FlowratesConverged,0.9609461158088379,0.9234174374880926,0.00044791172409469393,7
A2,1.07194277597413,FlowratesConverged,1.6138595396549817,2.6045426137353895,0.002590112513179211,2
A3,1.1563269673121843,FlowratesConverged,0.8567083371804074,0.7339491749944186,0.012219689042566461,2
A4,1.2873430684803944,FlowratesConverged,-1.2962575300640538,1.6802835842477613,0.04128445880345751,2
A5,1.0157843322930995,FlowratesConverged,2.141022929946189,4.583979186555363,0.00012849912953903802,5
A6,0.9521700014192593,FlowratesConverged,1.3157146461643379,1.7311050301313489,0.0011453372164736174,3
C1,0.9801896246483875,FlowratesConverged,-1.2930316360534562,1.6719308118350775,0.00019765763254001986,3
C2,1.2484362095660235,FlowratesConverged,-1.8882055574847527,3.5653202273163056,0.030863329102849734,3
C3,1.243674779630899,FlowratesConverged,0.4846403809057165,0.23487629880443797,0.02968890030502196,1
C4,1.0589769458488574,FlowratesConverged,1.3666173660177492,1.8676430251012908,0.0017407398612498872,3
C5,1.255421598578198,FlowratesConverged,-1.9872088579174942,3.9489990449857517,0.0326234791537833,3
C6,1.2055748330655083,FlowratesConverged,-1.6422025600201096,2.6968292481366016,0.02113281605182348,2
D1,1.0584979057278316,FlowratesConverged,0.6786930871193135,0.46062430650354413,0.0017113970500130685,3
D2,0.9989784049619979,FlowratesConverged,0.9282665420299736,0.8616787730522848,1.259927209428123e-06,3
E1,1.0292583320216178,FlowratesConverged,1.712691007168246,2.933310486034981,0.00043053761891250115,2
E2,1.4591175866574453,ErrorLossStagned,-2.9076447586610357,8.454398042568993,0.10540172107889172,13
F1,0.9917308504719594,FlowratesConverged,-1.191777954236045,1.4203346922030524,3.5406050867571067e-05,6
F2,0.9934324251804046,FlowratesConverged,0.5345299160799186,0.2857222311844048,2.1811264182171722e-05,1
F3,1.0119333007786195,FlowratesConverged,0.3413479621431179,0.11651843125925945,7.130164139118566e-05,1
H1,1.03456463248248,FlowratesConverged,-1.7379862510701969,3.0205962089090375,0.0005999442993202092,3
I1,1.3102711741414985,FlowratesConverged,-1.8166958802569297,3.3003839213425006,0.04813692780283929,4
J1,1.1994224508783118,FlowratesConverged,0.07674431569398621,0.005889689991338218,0.019884662002161994,3
M1,1.1492305221728318,FlowratesConverged,-1.1631965141716591,1.3530261305810989,0.011136033352557865,2
M2,1.22175546900282,FlowratesConverged,-0.2742539825072754,0.07521524692110092,0.024587808444398167,2
P1,1.2179577191322128,FlowratesConverged,0.8631890534641116,0.7450953420202688,0.023753421900324527,1
Q1,1.0109037764637236,FlowratesConverged,1.3085545792717994,1.712315086933196,6.091290980480432e-05,3
Q2,0.9722384515643805,FlowratesConverged,-1.3141014352937646,1.726862582241132,0.0003868309861215929,2
S1,1.2940835619397228,FlowratesConverged,-1.9807254990558931,3.923273502610217,0.04324593130918901,3
S2,0.9784032316913575,FlowratesConverged,-2.076245709893101,4.310796247849506,0.00023690275352055502,4
S3,1.0115943008138286,FlowratesConverged,0.33581970268357964,0.11277487271048782,6.731050666853967e-05,1
S4,1.082484338558038,FlowratesConverged,-1.1686128192567367,1.3656559213311783,0.0034030028507066948,3
S5,1.481610323863666,ErrorLossStagned,-3.5285919883959878,12.45096142057235,0.11598491730228573,13
T1,1.1437709567483663,FlowratesConverged,0.9993188679943614,0.998638199929532,0.01033589941822368,3
T2,0.9802204004809992,FlowratesConverged,-1.1588367122429872,1.342902525642136,0.00019676658543255665,4
