HoV,c_f_hat,MaxEpochs
A1,1.010093412030699,5
A2,1.0715972001918797,2
A3,1.1597681680600762,2
A4,1.3018146602454839,2
A5,0.9881502109744293,4
A6,0.9485849340686574,3
C1,0.9819547622387,3
C2,1.275774576818011,3
C3,1.2505903236764824,2
C4,1.0330934615074279,2
C5,1.2843288446939047,3
C6,1.2318834524709785,2
D1,1.0433414142711686,2
D2,0.9792114073206396,2
E1,1.0270433378679467,2
E2,1.5107200106250362,100
F1,0.9881068987221295,4
F2,0.9942934415119233,1
F3,1.0112733579691484,1
H1,1.039299063056333,3
I1,1.3410037652073705,3
J1,1.1940920991003412,2
M1,1.171824741092441,2
M2,1.2339720547038584,2
P1,1.222462612291688,2
Q1,1.0048606200449257,3
Q2,0.9719577309099824,2
S1,1.3216981071751368,3
S2,0.9842735955253314,4
S3,1.0083871621295295,1
S4,1.091469108636588,3
S5,1.5583409610052668,100
T1,1.1390729767245231,4
T2,1.0009595702985328,3
