HoV,TZ_Flow,MIXP,AMBP,AMBT,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R600_HD
ASD0,887.843325,2696.2864,101444.53,299.057324,131,136,120,120,148
ASD1,887.47725,2615.785,101391.56,298.509995,131,136,120,120,148
ASD2,887.476875,2648.8844,101513.72,298.961758,131,136,120,120,148
ASD3,886.590375,2592.1955,101393.79,298.661206,131,136,120,120,148
ASD4,888.331625,2654.4529,101460.547,299.539189,131,136,120,120,148
ASD5,887.217125,2576.3067,101347.754,299.0238,131,136,120,120,148
ASD6,887.52425,2560.181,101308.075,300.188393,131,136,120,120,148
ASD7,885.340125,2608.254,101319.1,299.103901,131,136,120,120,148
ASD8,887.7555875,2596.2519,101364.777,299.007853,131,136,120,120,148
ASD9,885.567175,2614.4127,101429.45,300.136286,131,136,120,120,148
ASD10,887.9854625,2546.4355,101325.806,300.130104,131,136,120,120,148
ASD11,887.33505,2652.2896,101386.676,299.55015,131,136,120,120,148
ASD12,887.2275,2633.7587,101329.7,298.124146,131,136,120,120,148
ASD13,887.110825,2642.8137,101641.58,299.262406,131,136,120,120,149
ASD14,886.46095,2595.2099,101634.875,298.264195,131,136,120,120,149
ASD15,887.145925,2587.1826,101630.334,298.995627,131,136,120,120,149
ASD16,886.71725,2598.4343,101634.84,298.585543,131,136,120,120,149
ASD17,887.6332125,2588.2416,101605.94,299.021294,131,136,120,120,149
ASD18,888,2583.6426,101529.17,298.318982,131,136,120,120,149
ASD19,889.243875,2667.0149,101581.41,298.56978,131,136,120,120,149
ASD20,887.3845625,2518.531,101568.335,298.553986,131,136,120,120,149
ASD21,887.591125,2528.5475,101562.31,298.350262,131,136,120,120,149
ASD22,886.519875,2582.6908,101550.57,299.167841,131,136,120,120,149
ASD23,886.22075,2454.311,101521.875,298.556204,131,136,120,120,149
ASD24,886.4891875,2639.7533,101533.856,297.52912,131,136,120,120,149
ASD25,886.48725,2600.032,101536.816,297.460362,131,136,120,120,149
ASD26,886.8888125,2592.686,101604.76,298.006829,131,136,120,120,149
ASD27,886.6078125,2549.1716,101483.344,297.558792,131,136,120,120,149
ASD28,888.06475,2655.0049,101549.646,298.999033,131,136,120,120,149
ASD29,887.832,2603.205,101562.726,298.600428,131,136,120,120,149
ASD30,886.743,2546.5797,101611.475,298.416401,131,136,120,120,149
ASD31,886.0838375,2627.9558,101616.45,299.560772,131,136,120,120,149
ASD32,887.0163,2713.1107,101600.23,298.57816,131,136,120,120,149
ASD33,887.432375,2593.3523,101654.785,298.850893,131,136,120,120,149
ASD34,887.094625,2622.0665,101585.26,298.607312,131,136,120,120,149
ASD35,887.6390875,2521.3188,101644.275,298.442091,131,136,120,120,149
ASD36,886.91825,2628.2341,101559.393,298.539507,131,136,120,120,149
ASD37,887.551375,2430.6025,101603.39,298.646744,131,136,120,120,149
ASD38,886.1125,2540.8459,101477.9,297.59657,131,136,120,120,149
ASD39,886.853625,2604.3676,101555.56,298.623274,131,136,120,120,149
ASD40,888.087625,2524.1539,101602.13,298.897974,131,136,120,120,149
ASD41,885.3323375,2636.5742,101554.49,297.611016,131,136,120,120,149
ASD42,887.289625,2607.844,101654.22,298.827376,131,136,120,120,149
ASD43,886.657625,2709.3958,101510.65,297.493235,131,136,120,120,149
ASD44,885.5105625,2623.2643,101571.53,298.41262,131,136,120,120,149
ASD45,884.9564375,2447.752,101580.17,298.233199,131,136,120,120,149
ASD46,886.662675,2654.0476,101610.02,298.52842,131,136,120,120,149
ASD47,887.3143,2561.5637,101537.225,297.479405,131,136,120,120,149
ASD48,887.501375,2600.5543,101598.236,297.875542,131,136,120,120,149
ASD49,886.775625,2669.3438,101456.96,298.81873,131,136,120,120,149
ASD50,886.277875,2584.1629,101596.19,298.412753,131,136,120,120,149
ASD51,886.185875,2583.5955,101531.165,299.077492,131,136,120,120,149
ASD52,886.60725,2577.7496,101526.465,299.08789,131,136,120,120,149
ASD53,886.867875,2590.9113,101505.615,298.315955,131,136,120,120,149
ASD54,885.8054375,2688.4256,101548.69,299.151787,131,136,120,120,149
ASD55,885.250925,2619.147,101619.74,297.952246,131,136,120,120,149
ASD56,886.271875,2620.0722,101536.7,298.382418,131,136,120,120,149
ASD57,885.639425,2474.9489,101600.916,299.157895,131,136,120,120,149
ASD58,887.0714625,2462.5465,101511.31,298.193535,131,136,120,120,149
ASD59,886.03925,2622.0245,101589.92,298.266589,131,136,120,120,149
ASD60,885.35925,2599.5993,101652.39,297.45515,131,136,120,120,149
ASD61,885.855625,2656.696,101450.35,299.347525,131,136,120,120,149
ASD62,885.4898125,2750.1724,101507.94,299.265662,131,136,120,120,149
ASD63,886.562575,2626.2646,101727.74,298.163155,131,136,120,120,149
ASD64,887.2251875,2481.4236,101546.69,298.372782,131,136,120,120,149
ASD65,885.45575,2660.0792,101590.55,298.411406,131,136,120,120,149
ASD66,887.175675,2634.2484,101615.906,298.8513,131,136,120,120,149
ASD67,888.9917,2627.4261,101703.394,298.041376,131,136,120,120,149
ASD68,888.06225,2463.098,101563.79,298.590605,131,136,120,120,149
ASD69,886.0131875,2614.5855,101587.22,298.778847,131,136,120,120,149
ASD70,886.836625,2595.2116,101505.74,300.424479,131,136,120,120,149
ASD71,885.6464375,2535.7027,101570.74,298.161265,131,136,120,120,149
ASD72,885.915125,2612.6066,101658.093,298.512984,131,136,120,120,149
ASD73,886.775375,2458.5884,101505.56,298.767397,131,136,120,120,149
ASD74,887.65075,2665.8258,101558.77,298.61569,131,136,120,120,149
ASD75,887.350375,2585.6863,101621.564,298.302254,131,136,120,120,149
ASD76,887.472625,2650.0273,101669.226,297.99832,131,136,120,120,149
ASD77,886.6703,2674.7475,101546.436,298.65735,131,136,120,120,149
ASD78,886.49505,2599.6637,101589.746,297.406937,131,136,120,120,149
ASD79,886.9575,2635.4847,101573.755,298.549605,131,136,120,120,149
ASD80,886.9268,2582.7831,101605.054,297.888132,131,136,120,120,149
ASD81,886.3644375,2613.1578,101588.135,298.410944,131,136,120,120,149
ASD82,886.611125,2603.6612,101531.805,298.081053,131,136,120,120,149
ASD83,887.35325,2588.7268,101511.774,298.233315,131,136,120,120,149
ASD84,886.3932,2613.9305,101555.86,298.209069,131,136,120,120,149
ASD85,888.097375,2611.787,101721.97,298.10902,131,136,120,120,149
ASD86,887.0427,2617.8886,101626.526,298.211665,131,136,120,120,149
ASD87,888.0693,2642.764,101622.57,299.015894,131,136,120,120,149
ASD88,888.428425,2602.2625,101694.99,298.094427,131,136,120,120,149
ASD89,886.4325,2586.0332,101544.147,298.679272,131,136,120,120,149
ASD90,886.478575,2574.2493,101538.94,298.781357,131,136,120,120,149
ASD91,887.756575,2493.4547,101510.94,297.788863,131,136,120,120,149
ASD92,886.548,2585.385,101677.295,298.476876,131,136,120,120,149
ASD93,887.222875,2693.9072,101563.28,298.989165,131,136,120,120,149
ASD94,886.378875,2573.629,101533.5,298.983372,131,136,120,120,149
ASD95,885.9665,2628.157,101572.33,297.536347,131,136,120,120,149
ASD96,887.093375,2530.1743,101615.31,298.25709,131,136,120,120,149
ASD97,886.007875,2617.3807,101450.684,297.668566,131,136,120,120,149
ASD98,887.0139375,2656.1905,101562.6,299.77639,131,136,120,120,149
ASD99,885.466625,2783.159,101584.235,297.413603,131,136,120,120,149
ASD100,886.4039625,2628.1816,101549.98,299.721943,131,136,120,120,149
ASD101,887.01095,2600.4498,101474.36,297.385739,131,136,120,120,149
ASD102,886.9325,2702.215,101511.58,298.226279,131,136,120,120,149
ASD103,887.013375,2456.9765,101643.243,299.497172,131,136,120,120,149
ASD104,886.421625,2595.8752,101654.18,297.89292,131,136,120,120,149
ASD105,886.794375,2524.5005,101654.34,299.595024,131,136,120,120,149
ASD106,886.66145,2537.3123,101681.21,297.931456,131,136,120,120,149
