HoV,CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,MIXP,AMBP,AMBT,R600_HD,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R620_HS1,R620_HS2,R620_HS3,R621_HS1,R621_HS2,R621_HS3
CGAN_ASD0,172.43266,176.38574,103.86254,106.08796,1560.3193,102388.14,298.07788,149.80307,130.36151,135.15912,118.26316,120.48276,75.12318,38.08628,112.976776,75.17,38.05601,113.00995
CGAN_ASD1,212.15857,212.36919,128.10403,128.25519,2496.976,101141.75,300.36334,148.41788,131.64569,137.0537,119.10225,122.240524,74.72441,37.967747,113.04864,74.7793,37.932343,112.97908
CGAN_ASD2,243.89989,242.00603,144.826,147.99837,3138.4011,102511.68,299.7968,148.59084,130.19888,135.35751,118.72539,120.94792,74.83971,38.02725,113.00422,74.97045,37.973133,112.99765
CGAN_ASD3,184.84874,188.7989,109.59604,111.98966,1825.4059,101617.21,294.932,148.2358,128.97653,135.1822,115.57831,117.512146,78.96917,38.98903,113.03914,77.99718,38.979897,112.989914
CGAN_ASD4,217.64412,219.52258,128.87805,130.81047,2482.8599,101265.37,294.14136,147.34987,130.30182,136.83356,116.79745,118.66731,78.964325,39.01455,113.012245,77.96809,38.97903,112.99572
CGAN_ASD5,251.041,250.43329,148.32558,151.17393,3176.0864,101960.47,295.03772,147.91151,129.78525,135.64902,117.11882,118.47535,78.896835,39.03714,112.98374,77.93567,38.982727,113.00163
CGAN_ASD6,171.93361,177.85432,103.66163,105.220085,1512.009,102519.7,295.8275,151.37503,126.66502,133.24149,114.704216,117.7272,74.59143,37.9123,113.00496,74.844574,37.905586,112.99502
CGAN_ASD7,208.26662,207.62265,124.97556,125.00271,2277.9854,102562.05,297.38223,149.8565,128.52333,133.71625,116.29044,118.88352,74.82184,37.96641,113.030426,74.92294,37.956837,112.98768
CGAN_ASD8,242.16054,246.80998,146.97678,147.471,3149.1096,100634.88,300.76904,149.08975,130.76308,137.07616,119.001755,122.03644,74.778244,38.0123,113.059525,74.78409,37.924343,112.9554
CGAN_ASD9,179.85982,186.22223,108.431076,109.967064,1736.0009,101167.84,296.18823,149.20688,128.87865,134.65224,115.89569,117.92603,79.01614,39.00284,113.04674,78.0129,38.98569,112.973976
