HoV,CAOLH_C66-C68,CAOLH_C68-C70,CAOLH_C70-C72,CAOLH_C72-C74,CAOLH_C74-C76,CAOLH_C76-C78,CAORH_C66-C68,CAORH_C68-C70,CAORH_C70-C72,CAORH_C72-C74,CAORH_C74-C76,CAORH_C76-C78,LAOLH_C66-C68,LAOLH_C68-C70,LAOLH_C70-C72,LAOLH_C72-C74,LAOLH_C74-C76,LAOLH_C76-C78,LAORH_C66-C68,LAORH_C68-C70,LAORH_C70-C72,LAORH_C72-C74,LAORH_C74-C76,LAORH_C76-C78,TZ6_Flow,CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,MIXP,AMBP,AMBT,R600_HD,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R620_HS1,R620_HS2,R620_HS3,R621_HS1,R621_HS2,R621_HS3,R630_HS1,R631_HS1,R632_HS1,R633_HS1,R634_HS1,R635_HS1,R636_HS1,R637_HS1,R638_HS1,R639_HS1,R640_HS1,R641_HS1
FDDN_ASD0,29.511731259363202,29.511731259363202,28.16944077600006,29.66713421555364,29.66713421555364,29.66713421555364,29.10908744747938,29.10908744747938,30.755353306924487,31.621519404522846,31.621519404522846,31.621519404522846,9.326029655309627,20.12371893761064,20.090669381504085,20.14024284476374,19.702342581870408,19.437951163534574,9.10347771321858,19.810812571487382,19.97606699318041,19.65382084485262,19.414203256610328,19.422466106063496,576.2341944068451,176.19430594138737,183.83808641545178,108.82095456459308,107.38084748541283,1800,102926.0,297.15,146,131,136,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD1,35.71230268693626,35.71230268693626,34.08925658757647,35.90039213391818,35.90039213391818,35.90039213391818,35.22475151779773,35.22475151779773,37.21096832651175,38.263776631841914,38.263776631841914,38.263776631841914,11.274100499580916,24.336321230591334,24.29458231877982,24.35301628883748,23.827110360764102,23.5098992891434,11.00790299145272,23.962535939652454,24.162896534706427,23.770524060566707,23.469987877737193,23.48668321736658,697.1224002300157,213.21503836320355,222.45180125763295,131.59502998769705,129.8605306214821,2600,102426.0,299.15,146,131,136,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD2,40.39737941695986,40.39737941695986,38.5580841553874,40.61094567946741,40.61094567946741,40.61094567946741,39.84279206758623,39.84279206758623,42.09133365340538,43.28437958678131,43.28437958678131,43.28437958678131,12.74538514580266,27.5125624619464,27.463708950068952,27.528847180979838,26.942602549032095,26.576206562365545,12.445487046682189,27.09190068848531,27.31176560092827,26.87203919062982,26.538178435385486,26.546322795029443,788.3907431839672,241.18568002770937,251.63005654892177,148.7693128501955,146.80569375714052,3400,103127.0,294.15,146,131,136,120,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD3,30.379363414565855,30.379363414565855,28.582945651351874,29.238638521105724,29.238638521105724,29.238638521105724,30.274740060379937,30.274740060379937,31.13811406371177,31.093295074459842,31.093295074459842,31.093295074459842,9.330044583285746,20.129328141849918,20.096146781540554,20.137624046808927,19.70627109726047,19.440825143638577,9.106606824068033,19.81517718559926,19.981090800001496,19.65755924972699,19.408691529158585,19.42528163799998,578.2597144725905,177.05758804380073,184.96747940785116,108.84023979438419,107.39440722655434,1800,101825.0,295.15,146,131,136,120,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD4,36.78705585392958,36.78705585392958,34.60857671988794,35.407856814026744,35.407856814026744,35.407856814026744,36.65952643576889,36.65952643576889,37.70545460273265,37.64990669834437,37.64990669834437,37.64990669834437,11.282827214344291,24.35477751851616,24.31281977938846,24.371560059142148,23.851286651183376,23.524023191007245,11.015244159942535,23.979052456639568,24.180463653347545,23.786033765615713,23.49231189789041,23.50070463956486,700.0315914257133,214.4062588698273,223.97422756930348,131.6972944135817,129.95381057300062,2600,100523.0,295.15,146,131,136,120,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD5,41.821016476459995,41.821016476459995,39.34821344200995,40.25079570377166,40.25079570377166,40.25079570377166,41.67392440974336,41.67392440974336,42.86182636574196,42.79757689330813,42.79757689330813,42.79757689330813,12.823251225687006,27.665941055523103,27.62460906378704,27.682473059939486,27.095589314489843,26.723629411607394,12.518797653361116,27.247150922486043,27.470354794788925,27.02395050438343,26.68501961013959,26.701551840714206,795.6073578283051,243.74263350624489,254.60240586515306,149.61549313103387,147.64682532587332,3400,101925.0,295.15,146,131,136,120,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD6,29.43203614074045,29.43203614074045,28.096940626105074,29.58671098660754,29.58671098660754,29.58671098660754,28.291615049803656,28.291615049803656,29.889775332591743,30.735028331271142,30.735028331271142,30.735028331271142,9.297071658606729,20.068981786693403,20.036409767878382,20.085266918721565,19.653694109632283,19.384981494327445,9.077745833637362,19.76061811692938,19.923484767025172,19.597752796060195,19.361597481269,19.36974092909124,570.0165819532931,175.72114586740858,178.6780904260125,108.52640573585981,107.09093992401235,1800,103027.0,293.15,146,131,136,114,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD7,35.97506190348607,35.97506190348607,34.33521257200425,36.16456422538233,36.16456422538233,36.16456422538233,34.58139481382874,34.58139481382874,36.52781145619776,37.5661707628414,37.5661707628414,37.5661707628414,11.357655262291988,24.512761955943784,24.470806429889965,24.529543622425905,24.000908825849486,23.682051808622003,11.090105075338963,24.13709417761761,24.338494871009807,23.944085557502973,23.64198940546341,23.658771368713836,696.5324107881726,214.77902905512337,218.38911337237946,132.55372790502312,130.8105404556466,2600,100523.0,295.15,146,131,136,114,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD8,41.16698626468325,41.16698626468325,39.29554391289829,41.38837184053954,41.38837184053954,41.38837184053954,39.574176251536535,39.574176251536535,41.80412443177294,42.991685877635064,42.991685877635064,42.991685877635064,12.987673259878012,28.03878990440819,27.988525915567877,28.055544761980503,27.45237458675971,27.08377519435996,12.679132765235757,27.606014941539115,27.832228073048825,27.379805351530557,27.04468063127369,27.05306014914732,796.9237720663642,245.79463196388343,249.9275345677512,151.60668362295425,149.5949219117753,3400,101925.0,299.15,146,131,136,114,120,75,38,113,75,38,113,21,21,41,41,41,41,41,41,41,41,41,41
FDDN_ASD9,30.84448548177326,30.84448548177326,29.018540291759116,29.685364756185265,29.685364756185265,29.685364756185265,29.94706036104546,29.94706036104546,30.799126118921436,30.755865007648055,30.755865007648055,30.755865007648055,9.468017104678896,20.43635500140126,20.402471973743378,20.444826317871726,20.012821445119357,19.74176252266948,9.248331513058929,20.124046647191552,20.284999051017635,19.95462590765192,19.708965220404256,19.717436450739843,582.2691065433662,179.76360552386143,182.96084186395652,110.5062543654841,109.03840479006412,1800,100724.0,298.15,146,131,136,114,120,79,39,113,78,39,113,21,21,41,41,41,41,41,41,41,41,41,41
