HoV,TZ_Flow,MIXP,AMBP,AMBT,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R600_HD
A1,887.13424883125,2600,101401.6,299.386666666667,131,136,120,120,148
A2,886.76405015625,2600,101576.3,298.4486667,131,136,120,120,149
A3,926.22485625,2606.1928,102136.6035,297.109024,131,136,114,120,152
A4,915.13947375,2599.8998,103195.6642,295.060027,131,136,120,120,154
A5,891.635528175,2600,102856.2,294.7558333,145,153,130,130,148
A6,893.68484226875,2600,101325,293.15,131,136,120,120,148
C1,889.52371300625,2600,100650.4,294.146833333333,131,136,120,120,148
C2,928.2580875,2601.856275,100356.9848,295.465578,131,140,120,125,153
C3,924.6765025,2595.41505,100252.7728,297.643472,131,136,120,125,152
C4,889.21841929375,2600,102484.2,295.5075,131,136,120,120,150
C5,908.92862875,2600.287925,102114.0688,296.50707,131,142,120,120,152
C6,942.176385,2598.42855,100400.1544,293.343504,135,145,120,125,154
D1,906.40982075,2600,101811.9,299.716333333333,131,136,120,120,151
D2,886.74241516875,2600,101721.3,296.578333333333,125,130,120,120,148
E1,884.07169615625,2600,101327.8,296.42116667,131,136,120,120,148
E2,901.31063875,2611.197525,101729.8987,296.001904,131,136,120,120,148
F1,867.1086640125,2600,102704.8,298.36516667,131,136,120,120,146
F2,867.1086640125,2600,101325,293.15,131,136,120,120,146
F3,891.91558106875,2600,102676.8,297.890833333333,140,153,125,128,148
H1,885.6234055375,2600,101983.8,293.817833333333,145,153,130,130,148
I1,908.77169125,2601.371425,100213.2298,295.077654,145,140,120,120,152
J1,884.66628125,2597.823175,100891.7896,294.84009,131,136,120,120,148
M1,944.71851,2588.72735,102353.611,298.563147,131,136,120,120,154
M2,955.015465,2632.9689,100388.3476,297.954306,135,145,120,125,154
P1,940.61173125,2605.0219,101100.0796,295.93329,131,136,120,120,154
Q1,871.44167123125,2600,101418.2,297.5995,118,122,110,110,148
Q2,898.154871075,2600,100117.8,297.261666666667,131,136,120,120,148
S1,927.5941225,2600.60825,101371.057,295.436231,131,136,114,120,155
S2,894.9577007,2600,100213.9,296.83933,131,136,120,120,148
S3,905.44465991875,2600,101105.3,297.285666666667,131,136,120,120,150
S4,918.08408875,2597.64605,102356.1438,294.425869,131,136,120,125,150
S5,947.412475,2602.399025,102286.7009,294.434538,131,145,120,125,160
T1,868.50652459375,2600,100112.6,297.1335,131,136,120,120,148
T2,890.91556386875,2600,101099,296.278833333333,131,136,120,120,148
