HoV,TZ_Flow,MIXP,AMBP,AMBT,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R600_HD
FDDN_ASD0,720.292743,1800,102926,297.15,131,136,120,120,146
FDDN_ASD1,871.4030003,2600,102426,299.15,131,136,120,120,146
FDDN_ASD2,985.488429,3400,103127,294.15,131,136,120,120,146
FDDN_ASD3,722.8246431,1800,101825,295.15,131,136,120,120,146
FDDN_ASD4,875.0394893,2600,100523,295.15,131,136,120,120,146
FDDN_ASD5,994.5091973,3400,101925,295.15,131,136,120,120,146
FDDN_ASD6,712.5207275,1800,103027,293.15,131,136,114,120,146
FDDN_ASD7,870.6655135,2600,100523,295.15,131,136,114,120,146
FDDN_ASD8,996.1547151,3400,101925,299.15,131,136,114,120,146
FDDN_ASD9,727.8363831,1800,100724,298.15,131,136,114,120,146
FDDN_ASD10,869.9141105,2600,101324,296.15,131,136,114,120,146
FDDN_ASD11,995.8809816,3400,100924,295.15,131,136,114,120,146
FDDN_ASD12,730.8857921,1800,101725,294.15,145,153,130,130,146
FDDN_ASD13,880.7928335,2600,102025,296.15,145,153,130,130,146
FDDN_ASD14,1009.625083,3400,102025,297.15,145,153,130,130,146
FDDN_ASD15,732.0186884,1800,101725,294.15,145,153,130,130,146
FDDN_ASD16,891.5907965,2600,100223,297.15,145,153,130,130,146
FDDN_ASD17,1017.263441,3400,100824,297.15,145,153,130,130,146
FDDN_ASD18,731.2625626,1800,101124,299.15,131,140,120,125,146
FDDN_ASD19,863.8520656,2600,102726,293.15,131,140,120,125,146
FDDN_ASD20,990.5497431,3400,102326,293.15,131,140,120,125,146
FDDN_ASD21,727.8171196,1800,101024,295.15,131,140,120,125,146
FDDN_ASD22,874.671134,2600,100523,293.15,131,140,120,125,146
FDDN_ASD23,1002.664688,3400,102226,299.15,131,140,120,125,146
FDDN_ASD24,722.4597036,1800,103127,298.15,131,136,120,125,146
FDDN_ASD25,869.4924259,2600,101625,294.15,131,136,120,125,146
FDDN_ASD26,992.6069605,3400,102125,294.15,131,136,120,125,146
FDDN_ASD27,727.4355043,1800,102025,298.15,131,136,120,125,146
FDDN_ASD28,876.3788784,2600,101024,296.15,131,136,120,125,146
FDDN_ASD29,992.6533045,3400,102426,294.15,131,136,120,125,146
FDDN_ASD30,716.1362549,1800,102926,293.15,131,142,120,120,146
FDDN_ASD31,870.3055678,2600,102526,298.15,131,142,120,120,146
FDDN_ASD32,997.2292568,3400,102626,299.15,131,142,120,120,146
FDDN_ASD33,721.529061,1800,102726,296.15,131,142,120,120,146
FDDN_ASD34,870.7924209,2600,102726,298.15,131,142,120,120,146
FDDN_ASD35,993.4258843,3400,103027,297.15,131,142,120,120,146
FDDN_ASD36,728.9985969,1800,101024,296.15,135,145,120,125,146
FDDN_ASD37,868.5022331,2600,101925,293.15,135,145,120,125,146
FDDN_ASD38,1004.047578,3400,101925,299.15,135,145,120,125,146
