HoV,CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,TZ6_Flow,MIXT,AMBT,AMBP,MIXP,R600_HD,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R620_HS1,R620_HS2,R620_HS3,R621_HS1,R621_HS2,R621_HS3
A1,153.5582825,157.2673771,94.29502762,96.64244395,501.7631311,293.15,299.3866667,101401.6,2600,148,131,136,120,120,75,38,113,75,38,113
A1,153.5949927,158.1545414,93.87557906,95.9286336,501.5537468,293.15,298.4486667,101576.3,2600,149,131,136,120,120,75,38,113,75,38,113
A2,162.4534978,160.3700402,99.44014671,101.609094,523.8727787,298.1013298,297.109024,102136.6035,2606.1928,152,131,136,114,120,75,38,113,75,38,113
A3,159.1393596,161.0466144,96.93622278,100.4806895,517.6028864,294.3903917,295.060027,103195.6642,2599.8998,154,131,136,120,120,75,38,113,75,38,113
A4,159.2170991,157.3482756,92.25964838,95.48403172,504.3090547,293.15,294.7558333,102856.2,2600,148,145,153,130,130,75,38,113,75,38,113
A5,155.0185345,158.4502628,95.1570386,96.84231085,505.4681468,293.15,293.15,101325,2600,148,131,136,120,120,75,38,113,75,38,113
C1,157.9723498,156.6324258,93.03260302,95.47723353,503.1146121,293.15,294.1468333,100650.4,2600,148,131,136,120,120,75,38,113,75,38,113
C2,166.0259638,160.7931563,98.98665853,99.21699559,525.0227743,295.7744248,295.465578,100356.9848,2601.856275,153,131,140,120,125,75,38,113,75,38,113
C3,165.3554592,160.7687196,97.7940881,99.07876295,522.9970298,297.596902,297.643472,100252.7728,2595.41505,152,131,136,120,125,75,38,113,75,38,113
C4,158.3312944,156.8003412,92.86196835,94.94833404,502.941938,293.15,295.5075,102484.2,2600,150,131,136,120,120,75,38,113,75,38,113
C5,160.2243155,158.5164792,97.54659992,97.80263785,514.0900324,296.6471103,296.50707,102114.0688,2600.287925,152,131,142,120,120,75,38,113,75,38,113
C6,161.6889367,167.2257534,100.8884525,103.0918208,532.8949634,293.6934717,293.343504,100400.1544,2598.42855,154,135,145,120,125,75,38,113,75,38,113
D1,155.2394758,162.0580643,96.40178789,98.96606661,512.6653946,293.15,299.7163333,101811.9,2600,151,131,136,120,120,75,38,113,75,38,113
D2,159.0281093,157.9798278,91.27934882,93.25422414,501.54151,293.15,296.5783333,101721.3,2600,148,125,130,120,120,79,39,113,78,39,113
E1,157.1538472,155.6691217,92.47039239,94.73759004,500.0309513,293.15,296.4211667,101327.8,2600,148,131,136,120,120,75,38,113,75,38,113
E2,128.6179179,160.0799616,88.78625766,96.73506007,474.2191973,296.767416,296.001904,101729.8987,2611.197525,148,131,136,120,120,75,38,113,75,38,113
F1,154.128651,152.6242107,90.8435846,92.84021413,490.4366604,293.15,298.3651667,102704.8,2600,146,131,136,120,120,75,38,113,75,38,113
F2,154.128651,152.6242107,90.8435846,92.84021413,490.4366604,293.15,293.15,101325,2600,146,131,136,120,120,75,38,113,75,38,113
F3,155.735744,158.0491694,94.78449757,95.89804173,504.4674527,293.15,297.8908333,102676.8,2600,148,140,153,125,128,75,38,113,75,38,113
H1,158.4489032,157.0036071,91.49893049,93.95715738,500.9085982,293.15,293.8178333,101983.8,2600,148,145,153,130,130,75,38,113,75,38,113
I1,157.9467157,158.2236709,95.97515385,101.8557282,514.0012686,295.022143,295.077654,100213.2298,2601.371425,152,145,140,120,120,75,38,113,75,38,113
J1,154.4418805,158.4682908,92.64673713,94.81034024,500.3672487,294.6601893,294.84009,100891.7896,2597.823175,148,131,136,120,120,75,38,113,75,38,113
M1,162.433998,171.0936317,99.54995866,101.2552009,534.3327893,299.6686615,298.563147,102353.611,2588.72735,154,131,136,120,120,75,38,113,75,38,113
M2,166.4029369,168.282582,102.4362423,103.0349858,540.156747,298.3922458,297.954306,100388.3476,2632.9689,154,135,145,120,125,75,38,113,75,38,113
P1,166.0765172,164.4117563,99.41683904,102.1048827,532.0099952,295.9199273,295.93329,101100.0796,2605.0219,154,131,136,120,120,75,38,113,75,38,113
Q1,154.4066971,152.6609209,91.83000253,93.98978871,492.8874092,293.15,297.5995,101418.2,2600,148,118,122,110,110,75,38,113,75,38,113
Q2,154.5943272,159.8051428,95.50714558,98.08977942,507.9963951,293.15,297.2616667,100117.8,2600,148,131,136,120,120,75,38,113,75,38,113
S1,164.8333305,158.8452724,98.32604833,102.6425845,524.6472357,295.9256113,295.436231,101371.057,2600.60825,155,131,136,114,120,75,38,113,75,38,113
S2,158.6283755,158.0172178,93.81711459,95.7253676,506.1880755,293.15,296.83933,100213.9,2600,148,131,136,120,120,75,38,113,75,38,113
S3,155.2931816,162.1879098,96.33992433,98.29848397,512.1194997,293.15,297.2856667,101105.3,2600,150,131,136,120,120,75,38,113,75,38,113
S4,165.6420536,158.5125412,97.14256922,97.97119655,519.2683606,295.6067688,294.425869,102356.1438,2597.64605,150,131,136,120,125,75,38,113,75,38,113
S5,168.5435951,164.682398,101.3240649,101.3064379,535.8564959,294.7648292,294.434538,102286.7009,2602.399025,160,131,145,120,125,75,38,113,75,38,113
T1,156.4726682,152.4508567,89.88571908,92.41804629,491.2272903,293.15,297.1335,100112.6,2600,148,131,136,120,120,75,38,113,75,38,113
T2,158.3605266,157.6032078,92.67841712,95.25969132,503.9018429,293.15,296.2788333,101099,2600,148,131,136,120,120,75,38,113,75,38,113
E1C,128.6179179,160.0799616,88.78625766,96.73506007,509.7812973,296.767416,296.001904,101729.8987,2611.197525,148,131,136,120,120,75,38,113,75,38,113
